stop_id,stop_name,service,borough,,
101,Van Cortlandt Park-242 St,1,Bronx,,
101N,Van Cortlandt Park-242 St,1,Bronx,,
101S,Van Cortlandt Park-242 St,1,Bronx,,
103,238 St,1,Bronx,,
103N,238 St,1,Bronx,,
103S,238 St,1,Bronx,,
104,231 St,1,Bronx,,
104N,231 St,1,Bronx,,
104S,231 St,1,Bronx,,
106,Marble Hill-225 St,1,Bronx,,
106N,Marble Hill-225 St,1,Bronx,,
106S,Marble Hill-225 St,1,Bronx,,
107,215 St,1,Manhattan,,
107N,215 St,1,Manhattan,,
107S,215 St,1,Manhattan,,
108,207 St,1,Manhattan,,
108N,207 St,1,Manhattan,,
108S,207 St,1,Manhattan,,
109,Dyckman St,1,Manhattan,,
109N,Dyckman St,1,Manhattan,,
109S,Dyckman St,1,Manhattan,,
110,191 St,1,Manhattan,,
110N,191 St,1,Manhattan,,
110S,191 St,1,Manhattan,,
111,181 St,1,Manhattan,,
111N,181 St,1,Manhattan,,
111S,181 St,1,Manhattan,,
112,168 St-Washington Hts,1,Manhattan,,
112N,168 St-Washington Hts,1,Manhattan,,
112S,168 St-Washington Hts,1,Manhattan,,
113,157 St,1,Manhattan,,
113N,157 St,1,Manhattan,,
113S,157 St,1,Manhattan,,
114,145 St,1,Manhattan,,
114N,145 St,1,Manhattan,,
114S,145 St,1,Manhattan,,
115,137 St-City College,1,Manhattan,,
115N,137 St-City College,1,Manhattan,,
115S,137 St-City College,1,Manhattan,,
116,125 St,1,Manhattan,,
116N,125 St,1,Manhattan,,
116S,125 St,1,Manhattan,,
117,116 St-Columbia University,1,Manhattan,,
117N,116 St-Columbia University,1,Manhattan,,
117S,116 St-Columbia University,1,Manhattan,,
118,Cathedral Pkwy (110 St),1,Manhattan,,
118N,Cathedral Pkwy (110 St),1,Manhattan,,
118S,Cathedral Pkwy (110 St),1,Manhattan,,
119,103 St,1,Manhattan,,
119N,103 St,1,Manhattan,,
119S,103 St,1,Manhattan,,
120,96 St,123,Manhattan,,
120N,96 St,123,Manhattan,,
120S,96 St,123,Manhattan,,
121,86 St,12,Manhattan,,
121N,86 St,12,Manhattan,,
121S,86 St,12,Manhattan,,
122,79 St,12,Manhattan,,
122N,79 St,12,Manhattan,,
122S,79 St,12,Manhattan,,
123,72 St,123,Manhattan,,
123N,72 St,123,Manhattan,,
123S,72 St,123,Manhattan,,
124,66 St-Lincoln Center,12,Manhattan,,
124N,66 St-Lincoln Center,12,Manhattan,,
